,Away team,Home team,Year,week,Awayscore,Homescore,Nethomepoints,Spread,Aappg,Aappga,Happg,Happga,DAappg,DAappga,DHappg,DHappga,OsbournM,WuM
3,3,12,1992,1,3,14,11,5,0,0,0,0,19.86824335,20.44639974,15.43846033,21.28629095,2.873105501,-3.957291896
4,7,25,1992,1,21,3,-18,-4,0,0,0,0,18.98228675,21.8327262,19.36620128,20.0719904,2.873105501,4.770856803
5,10,6,1992,1,24,27,3,-3.5,0,0,0,0,21.22671015,20.41604223,20.04543467,20.15294377,2.873105501,1.813344468
6,14,24,1992,1,24,10,-14,2.5,0,0,0,0,20.72466807,19.98091786,19.3071375,20.89164327,2.873105501,0.051657749
7,16,11,1992,1,23,20,-3,5.5,0,0,0,0,20.10449845,20.52735311,19.27760562,20.59818731,2.873105501,1.54898812
8,18,22,1992,1,13,15,2,-3,0,0,0,0,21.28577392,19.56603184,19.63198826,19.89996449,2.873105501,0.61734647
9,20,2,1992,1,17,20,3,-3,0,0,0,0,20.48841298,20.39580388,21.87641166,20.85116659,2.873105501,4.022899325
10,21,9,1992,1,13,17,4,-3,0,0,0,0,20.01590279,20.43628057,20.19309411,19.80889195,2.873105501,3.61192859
11,23,29,1992,1,29,24,-5,-13,0,0,0,0,19.83871147,20.91188161,22.61470883,19.97079869,2.873105501,7.168493759
12,26,19,1992,1,31,14,-17,4,0,0,0,0,22.82143203,19.84936864,19.51386071,20.43628057,2.873105501,-1.36199862
13,27,4,1992,1,7,40,33,-11,0,0,0,0,18.12586203,21.37736349,24.74100468,20.64878316,2.873105501,11.25284089
14,30,8,1992,1,10,23,13,2.5,0,0,0,0,25.53836562,19.69758107,21.31530581,20.56782979,2.873105501,-2.072043205
15,1,22,1993,1,17,23,6,-6,0,0,0,0,18.39164901,20.79045156,21.66968845,19.91008366,2.873105501,7.337856839
16,2,10,1993,1,13,30,17,-5.5,0,0,0,0,20.8723275,21.6202236,19.27760562,20.79045156,2.873105501,1.738867752
17,7,3,1993,1,14,27,13,-7.5,0,0,0,0,19.3071375,21.11426504,19.24807373,20.2136588,2.873105501,3.369553488
18,8,30,1993,1,16,35,19,-2.5,0,0,0,0,23.29394222,19.88984532,20.07496656,20.01127538,2.873105501,-0.581085938
19,9,20,1993,1,26,20,-6,1.5,0,0,0,0,18.95275486,20.76009405,17.71241562,20.61842565,2.873105501,0.928439079
20,14,28,1993,1,27,3,-24,7,0,0,0,0,21.49249713,20.284493,19.1004143,21.12438421,2.873105501,-0.910536221
21,15,12,1993,1,24,20,-4,6.5,0,0,0,0,21.25624203,20.27437383,17.59428807,20.48687642,2.873105501,-1.853562229
22,16,21,1993,1,7,24,17,2.5,0,0,0,0,22.26032619,19.95056035,18.56884033,20.27437383,2.873105501,-1.708809644
23,17,4,1993,1,14,38,24,-14,0,0,0,0,17.26943731,21.10414587,22.46704939,20.29461217,2.873105501,9.339169633
24,19,6,1993,1,26,20,-6,-1,0,0,0,0,20.25215788,21.14462255,19.92730713,21.08390753,2.873105501,2.321516492
25,25,24,1993,1,12,18,6,-11,0,0,0,0,15.34986467,20.58806814,21.1085826,19.86960698,2.873105501,9.45138043
26,26,23,1993,1,24,13,-11,6.5,0,0,0,0,23.94364373,19.81901112,20.04543467,19.70770024,2.873105501,-0.981097306
27,27,11,1993,1,6,36,30,-7,0,0,0,0,20.45888109,21.30652929,19.36620128,20.4261614,2.873105501,2.344887645
28,29,18,1993,1,21,33,12,-2,0,0,0,0,21.61062468,20.04163289,20.96092317,19.4749593,2.873105501,2.979437589
29,1,27,1994,1,12,14,2,6,0,0,0,0,20.84279562,20.15294377,17.7419475,21.14462255,2.873105501,-2.153026508
30,2,10,1994,1,28,31,3,-5.5,0,0,0,0,20.54747675,21.32676763,20.01590279,20.38568471,2.873105501,3.147749267
31,3,7,1994,1,28,20,-8,5,0,0,0,0,20.19309411,20.53747228,16.73786335,20.65890233,2.873105501,-1.808807747
32,8,23,1994,1,26,9,-17,5,0,0,0,0,22.31938996,19.74817693,20.31122166,20.27437383,2.873105501,0.219649819
